date,gamePk,model_version,status,result,model_prob,lab,pitcher_gap,kbb_diff,gb_pick,babip_pick,off_delta_diff,bullpen_gap
2026-07-22,823110,moneyline-v2-plus-runs-v1,value_watch,L,0.6615,91,20,0.0577,0.4375,0.2471,-0.139,-12
2026-07-22,824735,moneyline-v2-plus-runs-v1,official_pick,W,0.7296,81,13,-0.0707,0.4828,0.2333,0.045,-4
2026-07-22,825055,moneyline-v2-plus-runs-v1,value_watch,L,0.5191,80,15,0.1256,0.3763,0.3404,-0.053,3
2026-07-22,822784,moneyline-v2-plus-runs-v1,value_watch,W,0.6665,77,7,0.0235,0.5072,0.2947,0.09,6
2026-07-22,824732,moneyline-v2-plus-runs-v1,watchlist,L,0.6053,68,-1,0.0156,0.5556,0.1818,0.038,-4
2026-07-22,822873,moneyline-v2-plus-runs-v1,pass,W,0.5843,61,5,-0.0608,0.48,0.2821,-0.173,10
2026-07-22,823438,moneyline-v2-plus-runs-v1,pass,W,0.5853,60,5,-0.1,0.339,0.2325,-0.139,17
2026-07-22,823761,moneyline-v2-plus-runs-v1,pass,W,0.6543,58,5,0.0604,0.3276,0.2658,-0.063,-30
2026-07-22,824650,moneyline-v2-plus-runs-v1,pass,L,0.5801,58,-22,-0.0319,0.5256,0.3003,0.05,45
2026-07-22,824166,moneyline-v2-plus-runs-v1,pass,W,0.5507,53,6,0.0219,0.3911,0.235,0.037,-10
2026-07-22,824004,moneyline-v2-plus-runs-v1,pass,L,0.5626,47,12,0.0636,0.3791,0.2784,0.135,6
2026-07-22,824408,moneyline-v2-plus-runs-v1,pass,L,0.5779,46,-6,-0.0081,0.5167,0.3158,0.133,-1
2026-07-22,823518,moneyline-v2-plus-runs-v1,pass,L,0.6096,34,12,0.0922,0.3611,0.2848,-0.034,-16
2026-07-22,823519,moneyline-v2-plus-runs-v1,pass,W,0.533,32,24,0.0579,0.4921,0.2515,-0.029,-16
2026-07-22,824327,moneyline-v2-plus-runs-v1,pass,W,0.5644,26,-2,0.0309,0.5538,0.3416,0.172,-5
2026-07-22,824083,moneyline-v2-plus-runs-v1,pass,L,0.5131,24,6,0.0281,0.6031,0.293,-0.124,-6
2026-07-22,824896,moneyline-v2-plus-runs-v1,pass,W,0.5489,18,-5,-0.0198,0.5407,0.2434,-0.098,-4
2026-07-23,822785,moneyline-v2-plus-runs-v1,official_pick,L,0.7652,88,14,0.0375,0.4432,0.3065,0.112,40
2026-07-23,824406,moneyline-v2-plus-runs-v1,pass,L,0.588,37,4,0.0451,0.54,0.2878,0.156,1
2026-07-23,823042,moneyline-v2-plus-runs-v1,pass,W,0.5199,37,-19,-0.0077,0.5581,0.2833,0.245,-19
2026-07-23,824247,moneyline-v2-plus-runs-v1,pass,W,0.5888,30,25,0.1812,0.4732,0.1884,0.018,-29
