date,gamePk,model_version,matchup,model_side,status,model_prob,market_prob,lab_score,best_price,result,final_score
2026-07-22,823110,moneyline-v2-plus-runs-v1,Cincinnati Reds @ Seattle Mariners,Seattle Mariners,value_watch,0.6615,0.5835,91,-150,L,5-3
2026-07-22,824735,moneyline-v2-plus-runs-v1,Baltimore Orioles @ Boston Red Sox,Boston Red Sox,official_pick,0.7296,0.5593,81,-135,W,3-6
2026-07-22,825055,moneyline-v2-plus-runs-v1,Athletics @ Arizona Diamondbacks,Athletics,value_watch,0.5191,0.4356,80,129,L,5-15
2026-07-22,822784,moneyline-v2-plus-runs-v1,Tampa Bay Rays @ Toronto Blue Jays,Tampa Bay Rays,value_watch,0.6665,0.5211,77,-110,W,4-2
2026-07-22,824732,moneyline-v2-plus-runs-v1,Baltimore Orioles @ Boston Red Sox,Boston Red Sox,watchlist,0.6053,0.5338,68,-118,L,5-1
2026-07-22,822873,moneyline-v2-plus-runs-v1,Chicago White Sox @ Texas Rangers,Chicago White Sox,pass,0.5843,0.5317,61,-120,W,4-2
2026-07-22,823438,moneyline-v2-plus-runs-v1,Los Angeles Dodgers @ Philadelphia Phillies,Los Angeles Dodgers,pass,0.5853,0.532,60,-120,W,9-5
2026-07-22,823761,moneyline-v2-plus-runs-v1,New York Mets @ Milwaukee Brewers,Milwaukee Brewers,pass,0.6543,0.587,58,-151,W,3-4
2026-07-22,824650,moneyline-v2-plus-runs-v1,Detroit Tigers @ Chicago Cubs,Chicago Cubs,pass,0.5801,0.5273,58,-114,L,5-1
2026-07-22,824166,moneyline-v2-plus-runs-v1,Miami Marlins @ Houston Astros,Houston Astros,pass,0.5507,0.5114,53,-109,W,2-5
2026-07-22,824004,moneyline-v2-plus-runs-v1,St. Louis Cardinals @ Los Angeles Angels,Los Angeles Angels,pass,0.5626,0.5528,47,-128,L,1-0
2026-07-22,824408,moneyline-v2-plus-runs-v1,Minnesota Twins @ Cleveland Guardians,Cleveland Guardians,pass,0.5779,0.5438,46,-127,L,10-6
2026-07-22,823518,moneyline-v2-plus-runs-v1,Pittsburgh Pirates @ New York Yankees,New York Yankees,pass,0.6096,0.6022,34,-160,L,5-3
2026-07-22,823519,moneyline-v2-plus-runs-v1,Pittsburgh Pirates @ New York Yankees,New York Yankees,pass,0.533,0.6245,32,-177,W,0-2
2026-07-22,824327,moneyline-v2-plus-runs-v1,Washington Nationals @ Colorado Rockies,Washington Nationals,pass,0.5644,0.5631,26,-137,W,8-0
2026-07-22,824083,moneyline-v2-plus-runs-v1,San Francisco Giants @ Kansas City Royals,San Francisco Giants,pass,0.5131,0.5444,24,-125,L,4-5
2026-07-22,824896,moneyline-v2-plus-runs-v1,San Diego Padres @ Atlanta Braves,Atlanta Braves,pass,0.5489,0.6645,18,-214,W,6-7
2026-07-23,822785,moneyline-v2-plus-runs-v1,Tampa Bay Rays @ Toronto Blue Jays,Tampa Bay Rays,official_pick,0.7652,0.513,88,-108,L,1-3
2026-07-23,824406,moneyline-v2-plus-runs-v1,Minnesota Twins @ Cleveland Guardians,Cleveland Guardians,pass,0.588,0.5742,37,-140,L,3-1
2026-07-23,823042,moneyline-v2-plus-runs-v1,Arizona Diamondbacks @ St. Louis Cardinals,Arizona Diamondbacks,pass,0.5199,0.4845,37,103,W,10-6
2026-07-23,824247,moneyline-v2-plus-runs-v1,Kansas City Royals @ Detroit Tigers,Detroit Tigers,pass,0.5888,0.6663,30,-215,W,3-4
