date,gamePk,official_model_version,shadow_model_version,p_home_official,p_home_shadow,home_won
2026-07-22,823110,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.6615,0.6484,0
2026-07-22,824735,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.7296,0.74,1
2026-07-22,825055,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.4809,0.6157,1
2026-07-22,822784,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.3335,0.4368,0
2026-07-22,824732,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.6053,0.6739,0
2026-07-22,822873,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.41569999999999996,0.5355,0
2026-07-22,823438,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.41469999999999996,0.4919,0
2026-07-22,823761,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.6543,0.655,1
2026-07-22,824650,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.5801,0.5585,0
2026-07-22,824166,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.5507,0.544,1
2026-07-22,824004,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.5626,0.6174,0
2026-07-22,824408,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.5779,0.6802,0
2026-07-22,823518,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.6096,0.5586,0
2026-07-22,823519,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.533,0.6127,1
2026-07-22,824327,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.4356,0.3781,0
2026-07-22,824083,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.4869,0.4824,1
2026-07-22,824896,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.5489,0.6195,1
2026-07-23,822785,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.2348,0.3135,1
2026-07-23,824406,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.588,0.6744,0
2026-07-23,823042,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.48009999999999997,0.4312,0
2026-07-23,824247,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.5888,0.6466,1
